from,to
102,4353
103,19463
103,32998
103,47694
104,18484
104,35103
104,46807
105,35028
105,11533
105,7846
105,20234
105,47436
105,23525
105,48278
105,16019
105,22115
105,15601
105,29276
105,23032
105,38170
106,8626
107,18751
107,31745
107,1822
107,37318
107,28004
107,43883
107,35779
107,11191
107,9273
107,1465
108,10235
108,12501
108,20217
108,22387
108,33808
108,25076
108,32983
108,2850
108,20633
108,21152
108,6489
108,48536
108,26435
109,9748
109,5810
110,42138
110,2564
111,38300
111,3473
111,24751
111,29767
112,3633
112,46145
112,48377
112,44296
112,7284
112,18556
112,614
112,45477
112,31337
112,23840
112,27770
112,49180
112,18850
112,18306
112,34790
112,36039
112,12954
113,3900
113,801
114,37548
114,36458
114,24128
114,6736
114,3787
114,36955
114,48927
114,42167
114,39125
115,45109
115,48662
115,12313
115,46021
115,3000
116,6840
116,6812
117,31120
117,48973
118,37455
118,39507
118,33207
118,5697
118,37706
118,7076
118,46900
119,6485
119,11177
119,49461
119,41308
119,16060
120,40193
120,36713
120,9914
120,28667
121,46397
121,32433
121,28323
121,30370
121,32027
121,23771
122,38752
122,1132
123,15140
123,30909
123,19851
123,14624
124,49506
124,15908
125,44129
125,11366
126,31054
126,26680
126,3725
126,12966
126,35234
126,18694
127,898
127,25334
128,5511
129,8880
129,2693
129,29380
129,43923
129,36478
129,30046
129,16056
129,19650
129,2725
129,40371
129,42856
129,46670
130,11995
130,19276
131,30641
132,39722
132,45807
132,19777
132,35188
133,10043
133,28761
133,10445
133,23247
134,19217
134,24425
135,33217
136,38350
136,1691
136,15003
136,27953
136,36878
136,36976
137,12929
137,27431
137,2485
137,30890
137,38348
137,36869
138,17470
138,21697
138,43224
138,8890
138,18840
138,11569
138,26324
138,20873
138,41251
138,22437
139,9656
139,18589
139,28102
139,4133
140,6277
140,7033
140,22482
141,48490
141,36243
141,11218
141,23679
141,6669
141,7243
141,32730
142,6347
142,16371
142,34808
143,38032
143,6973
143,23871
144,24448
144,26023
144,42153
144,34848
145,23950
145,42019
145,43533
146,11697
146,43339
146,9539
146,7613
147,530
147,10496
148,10519
148,39108
148,20176
148,12815
148,23335
148,18888
148,46570
149,17639
150,8972
150,31481
150,34086
150,9873
151,6460
151,25859
152,36742
152,30498
152,12139
152,3339
152,33656
152,853
152,13985
152,35616
153,1581
153,45129
153,14023
153,49623
153,28940
153,31258
153,6335
153,10279
153,34634
153,25662
153,1932
154,28255
154,36623
154,34228
154,43758
154,45325
154,36230
154,20624
154,3044
154,31771
154,35674
155,24002
155,19723
155,15697
155,9924
155,48954
155,6774
155,3963
156,48197
156,43102
156,34980
156,6189
156,28655
156,12774
157,26976
157,44117
157,23103
158,27394
158,20400
158,29052
159,43580
159,36310
159,21719
159,45601
159,33136
159,11612
160,49714
160,49730
160,2667
161,22009
161,31963
161,30960
162,29860
162,43983
162,1618
163,11090
163,19829
164,15227
164,9159
164,30832
164,13809
165,24820
165,30490
165,3666
165,23386
165,23996
165,20281
165,1673
165,32375
165,20484
165,37224
165,16427
165,8490
165,29793
165,13880
165,38726
165,32761
166,25161
166,19856
166,21207
166,18977
166,1858
166,13811
166,39665
167,8684
167,48954
167,46115
168,49377
168,35296
168,11672
168,17580
168,5994
168,1192
169,38662
169,48244
169,12386
169,31811
169,33148
169,9536
169,4936
169,47933
169,8691
169,24472
169,33199
169,23251
169,651
169,12825
169,43833
169,32462
170,1376
170,2460
170,4038
170,7494
170,12
170,34752
170,8139
170,908
170,8804
170,25064
171,24428
171,31074
171,31438
171,3967
171,49976
171,7764
171,49747
171,19833
172,2686
172,5930
172,11936
172,47386
172,25866
172,46483
172,23737
172,48389
173,8913
173,25946
173,39278
173,14929
173,45148
173,22377
173,13454
174,36265
174,35172
174,7506
174,28712
174,49124
174,39852
174,23698
174,36841
174,46979
174,13731
174,29563
174,17579
174,39149
174,33571
174,45841
174,4318
175,31400
175,43294
175,36653
175,8452
175,37315
175,14792
175,13527
176,49766
177,15444
177,11856
178,8738
178,27436
178,40959
178,44094
178,20131
178,31230
178,4495
178,6822
178,1964
178,25856
178,18446
178,40026
178,29811
178,30003
178,12490
178,6294
178,46463
178,36674
179,17879
179,33404
180,1552
180,23488
180,7420
180,26093
180,16992
180,36581
180,14206
180,43327
181,14177
181,20784
181,22001
181,4253
181,37911
181,1635
181,15189
181,38943
181,33939
182,42541
182,14314
183,48073
183,43006
183,586
183,32196
183,14972
183,44689
183,2575
183,496
183,4317
183,4359
183,1388
184,26048
184,10310
184,26213
184,36355
184,15887
184,10737
185,6813
185,34665
185,43
186,42757
186,44934
186,998
186,39738
186,17455
186,19133
186,6270
187,36564
187,38373
187,47057
187,47082
187,31062
187,9710
187,6197
187,2424
187,42605
187,259
187,22291
187,42398
187,31477
187,25778
187,11532
187,24518
187,45449
188,9762
188,5564
188,34977
188,18356
188,7834
188,10439
189,21112
189,5583
189,5103
189,4914
190,15488
190,36589
190,20822
190,38718
191,49351
191,29584
192,49869
192,37385
192,28089
192,29698
192,48452
192,1446
192,46835
192,32733
192,25104
192,21656
192,37635
192,10345
192,6091
193,367
193,17864
193,32577
194,28308
194,46754
195,26097
195,43789
195,44565
195,44806
195,22639
195,559
195,12147
195,17660
195,12492
195,10547
195,44319
195,27645
195,2599
195,12112
195,37716
195,25229
195,22219
195,31032
196,8587
196,30039
196,45320
196,20838
196,44627
197,30084
197,36004
197,29146
197,19319
197,41553
197,46422
197,36457
197,9811
197,41287
197,32657
197,16388
197,829
197,33942
197,41368
197,35820
197,9485
197,35488
197,41947
197,44643
198,37299
198,43936
198,46409
199,38527
199,23420
199,14496
200,25586
201,46590
202,4113
202,36833
202,5435
202,30753
202,45460
202,3902
202,46122
202,11131
202,13586
202,1468
202,19169
202,36213
202,17045
202,44285
202,49624
202,41237
203,41004
203,42691
203,34801
203,13034
203,9731
203,7338
203,44199
203,49818
203,11774
203,7895
203,18631
203,21934
203,2645
203,31323
204,2077
204,15051
204,44111
205,1703
205,20458
205,40373
206,47197
206,45766
206,4469
206,31469
206,37927
206,13921
206,33876
206,18651
206,19056
206,618
206,2188
206,22026
206,22114
206,38610
206,31460
206,49943
206,44138
206,18479
207,2599
207,26292
207,27652
207,16278
207,32094
207,2493
207,35055
207,45717
207,38783
207,40700
207,38307
208,26071
208,44813
208,42843
208,33166
208,23282
208,43005
208,18219
209,6440
209,19657
209,4184
209,19985
209,28231
209,7716
209,26109
209,49962
209,21270
209,9731
209,13769
209,47856
209,14202
209,1242
209,21952
210,335
210,11768
210,33574
210,3521
210,43235
210,15740
210,34796
210,47965
210,29066
210,20086
210,37828
210,6262
211,26934
211,14886
211,39996
212,43273
212,4833
212,4782
212,49808
212,6785
212,49187
212,23849
212,44887
212,5647
212,26710
212,5107
212,36785
212,9357
212,34075
212,15663
212,23187
212,41090
212,24653
212,4431
213,33172
213,20345
213,10819
213,12837
213,49635
213,37162
213,48879
213,49167
213,14787
213,19328
213,5318
213,22171
213,6128
213,34451
214,19252
214,28910
214,44680
214,16348
215,17514
215,49350
215,32727
215,20882
215,39637
215,46385
216,33533
216,46400
216,35746
216,28131
216,36145
216,12338
216,24173
216,12046
216,46566
216,9417
216,26655
216,22527
217,48758
217,4821
217,29215
217,29238
217,45514
217,28160
218,25778
218,19643
218,9850
218,44604
218,26167
218,40344
218,11249
218,7804
218,19616
218,43686
218,36706
219,38455
219,17409
219,44550
220,42621
220,27571
220,43699
220,13967
220,15061
220,13972
220,12796
220,3584
220,44989
220,391
220,9758
220,31680
220,1172
220,23813
221,44456
221,48034
221,12897
221,8100
221,41111
221,12036
221,28898
221,6278
221,7349
221,34487
221,40963
221,5089
221,4610
221,31446
221,48209
221,17775
222,37065
222,40527
222,10475
222,13152
222,9391
222,44412
222,4675
222,36736
222,30634
222,42367
222,14375
222,13385
222,19242
223,28354
223,29608
223,43054
223,38536
223,24083
223,18348
223,11872
223,1952
223,4246
224,19604
224,38146
224,47468
224,20214
225,41891
225,49010
225,4578
225,18147
225,9675
225,23442
225,18316
225,19133
225,5055
225,24827
225,13011
225,1931
225,10554
225,33659
225,27471
225,34868
225,20963
225,41170
226,19650
226,49570
226,37679
226,47986
226,49596
226,8528
226,3793
226,18418
226,20113
226,15133
226,16412
226,3890
226,24447
226,23142
226,23400
226,2485
226,9761
227,45773
227,44090
227,30609
228,42197
228,33151
229,1011
229,31071
230,32116
230,8829
231,27481
231,24441
232,47740
232,11368
232,46107
233,26350
233,25538
233,18444
233,33824
233,29904
233,21303
233,8816
233,18557
233,8647
233,13124
233,31879
233,20053
233,22973
233,29386
233,48180
233,18479
233,35658
234,25259
234,15327
234,16364
234,49619
235,14942
235,12055
235,28242
235,18388
235,36724
235,40465
235,5361
235,35409
236,6524
236,33884
236,8804
236,14721
237,43781
237,12342
237,19825
238,6058
238,2708
238,34579
238,4349
239,12856
239,24308
239,17081
239,34036
239,17318
239,23515
239,5852
239,24826
239,24661
239,4281
240,31570
240,10499
240,42517
241,6323
241,21808
241,21970
241,48273
241,42664
241,1
241,41566
241,46902
241,4156
241,33818
241,28854
241,11954
242,1692
242,27473
242,46689
242,36006
242,41764
242,25559
242,1712
242,32321
242,5
242,37363
242,43214
242,19143
243,36860
243,49760
243,38734
243,12976
243,23528
243,29176
243,23903
243,47388
243,36189
243,17099
243,3906
243,45350
243,43852
243,31801
243,25361
243,22726
243,37302
243,21673
244,24327
244,22151
244,25361
244,19173
244,43466
244,28827
245,38979
245,15142
245,1803
245,47106
245,38056
245,31078
245,27764
245,47093
245,28779
245,41578
245,43595
245,8291
245,19370
245,28487
245,35831
245,18919
245,39111
245,22746
245,34850
245,29826
246,19991
246,11673
246,10619
246,27474
246,23286
246,45122
246,10024
246,39373
246,44653
246,8360
246,11450
247,810
247,35532
248,5885
248,10869
248,22196
249,11576
249,16055
250,3193
250,19322
251,36553
251,1687
251,9999
251,41411
251,45474
251,23612
251,14350
251,31729
251,22238
251,13105
251,48888
251,3158
252,5544
252,33403
252,23107
252,5109
252,9122
252,24911
252,44142
252,16267
252,7667
252,9986
252,9416
252,14097
252,30312
252,8347
252,16720
253,35598
253,41505
253,36183
253,17765
253,33674
253,25989
253,4305
253,33652
253,9542
253,49722
253,32331
253,44844
253,44648
254,46064
254,46155
255,19276
255,31239
255,11112
256,37073
256,49309
256,18706
256,23118
256,38323
256,47038
256,1085
256,39993
256,11644
257,3816
257,47033
257,2908
257,9837
257,42122
257,32578
257,19820
257,20601
257,0
257,621
257,18894
257,4500
257,26639
257,27097
257,40696
257,42841
257,4542
257,38219
258,38687
258,26597
258,26723
258,16095
258,35258
258,18248
258,4965
258,23814
258,944
258,1838
258,8794
258,13463
258,10044
258,5067
258,37419
258,1150
258,18573
258,21415
259,30717
259,4271
260,33824
260,8421
260,22792
260,1990
260,15323
260,22026
260,6468
260,28030
260,7534
260,153
260,46705
260,32085
261,10076
261,28651
262,36625
262,22306
262,34746
262,19638
262,2159
262,10057
262,38648
262,4512
262,38093
262,26226
263,21078
263,33317
263,39406
263,4910
263,4663
263,8905
263,12350
263,633
263,27210
263,37680
263,14675
263,794
263,48123
264,24860
264,26328
264,1736
264,5336
264,17514
264,7910
264,39825
264,30647
264,49763
264,8744
264,6886
264,7849
264,36302
264,36111
264,22994
264,2858
264,31384
264,48765
264,28798
265,29250
265,32714
265,17351
265,30974
265,49291
265,24830
265,33093
265,7247
265,9663
265,22166
265,22472
265,13351
265,2911
265,3014
265,25062
265,32740
265,9519
265,38252
265,32937
265,25901
266,27550
267,14331
268,8396
268,9662
268,26823
269,20383
269,7614
270,31038
270,616
270,37562
270,48647
270,10595
270,38273
270,29215
270,19761
270,35671
270,11075
270,19544
270,28464
270,15459
270,41921
270,49094
270,21348
271,21314
271,12514
271,10351
272,921
272,24139
272,37706
272,46333
272,36475
272,34336
272,39709
272,12636
272,48511
272,26377
273,12000
273,44440
273,16542
274,16731
274,152
274,2146
274,39587
275,21082
275,14006
275,39580
275,7124
275,32564
275,15157
275,37111
275,44665
275,14059
275,5539
275,8460
275,46360
275,31479
275,38156
275,27458
275,19305
275,33131
275,2894
276,11501
276,27460
276,1604
276,7639
276,21622
276,46223
276,13571
276,32037
276,23422
276,20104
276,48360
277,25251
277,36236
277,20926
277,48325
277,46937
277,1382
277,45383
277,46066
278,19494
278,49487
278,23322
278,10741
278,38458
278,44029
278,38070
278,19074
279,28504
279,40760
279,25999
279,33390
279,27356
279,28977
280,31568
280,26360
281,31226
281,20743
282,14091
282,46406
282,6087
282,1960
283,39455
283,41285
283,26267
284,46476
284,13922
284,11287
284,40130
284,25626
284,10065
285,32530
285,33948
286,6776
286,35320
286,38358
287,38065
287,43232
288,9845
288,47576
288,47536
288,28583
289,38716
289,47455
290,23681
290,38034
290,46232
291,35916
291,35966
292,4102
292,22758
293,19554
293,17918
293,21292
293,12572
293,32948
293,12525
294,9037
294,25700
294,46105
294,10462
294,31532
294,27001
294,42379
294,36025
294,3403
294,39665
294,48843
294,18249
294,43721
295,32423
295,49370
295,18856
296,3282
296,28557
296,38980
296,2521
296,27440
296,18153
297,18210
297,28034
297,17093
297,40145
297,41919
297,21936
297,30008
297,13881
297,27173
297,40607
297,18098
298,38313
298,22554
298,16212
298,47070
298,4404
298,11124
298,42925
298,37346
298,11738
299,26936
299,37960
299,47740
299,17432
299,47213
299,36301
299,1419
299,20885
299,23748
299,25107
299,40931
299,35966
299,1997
300,23593
300,31405
300,35057
300,8422
300,4448
300,13007
301,31890
301,33808
302,49318
302,12934
303,38294
303,16081
303,9557
303,24182
303,30356
303,17596
303,44953
303,29234
303,14627
303,5208
303,46773
303,8964
303,11861
304,17606
305,21030
305,41284
305,247
305,9076
305,25843
305,44291
305,44758
306,16392
306,3904
306,11408
306,25670
306,13466
306,48022
306,13280
306,33890
306,23179
307,3005
307,46920
308,47470
308,33324
309,41986
309,18201
309,21970
309,6657
309,14344
310,34118
310,9678
310,42466
310,30404
310,15640
310,37069
310,20836
310,35218
310,34053
310,8638
310,9674
310,5917
310,3860
310,43025
310,21666
310,46062
310,22982
310,21143
310,35771
310,9559
311,14381
311,24022
311,5445
311,9532
312,12308
312,49497
312,32128
313,1191
314,41568
315,44558
315,46210
315,3913
315,22138
316,6179
316,15653
316,37868
316,44916
317,27337
317,13616
318,21818
318,2923
318,15156
318,28264
318,36941
318,40981
318,35455
318,12251
318,27745
318,30337
318,46494
318,40803
318,23331
319,26261
319,1350
319,46645
319,29098
319,36373
319,36326
320,26390
320,1484
321,27852
321,44714
322,16421
322,21662
323,20238
323,36221
323,48732
323,2863
323,27231
323,1748
323,21524
323,7112
323,1963
323,14742
323,39300
323,26894
323,23449
324,5057
324,8657
324,10872
324,8811
325,14066
325,45619
325,41270
325,45200
325,13362
326,32662
326,714
326,48356
326,44424
326,17196
326,27817
327,37427
327,48446
328,24743
328,11737
328,31764
328,49625
328,36455
328,15650
328,6888
328,24763
328,12457
328,6236
328,37931
328,37413
328,49965
328,48194
328,27724
328,49285
328,45179
329,13034
329,22767
329,7747
329,49674
329,49384
329,10273
329,11447
329,6570
330,227
330,7165
330,45978
331,15459
332,37900
332,12517
332,25561
333,6999
333,17975
333,5645
333,46023
333,48781
333,14693
333,24357
333,7309
333,42745
333,49280
333,3487
333,25177
333,984
333,47872
333,40188
333,37905
333,11446
333,48529
334,45142
335,6925
335,28490
335,33846
335,41578
335,22215
335,49760
335,43278
335,30276
335,28404
335,33713
335,6883
335,17450
335,28269
335,8872
335,49379
336,43545
336,12074
336,10691
337,5238
337,28707
337,23875
337,6613
338,47754
338,34761
338,15389
338,49266
339,15814
339,41398
339,5423
339,34618
339,22434
339,40956
339,24785
340,32229
341,2194
342,46222
342,26699
342,14364
342,45681
342,31166
342,42181
342,37667
342,4336
342,31503
342,33164
342,25366
342,27023
342,5934
342,29975
343,36787
343,16924
343,3734
343,24806
343,46801
343,8897
344,26809
344,32791
344,28750
345,40744
345,39654
345,5088
345,7653
345,4603
345,41487
346,48988
346,4347
346,44781
347,49854
347,17252
347,31101
348,42044
348,17306
348,3916
349,27475
349,35880
349,36246
349,32011
349,26547
349,45305
349,12899
349,6625
349,38082
349,38847
350,38483
350,43829
350,37787
351,36254
351,38587
351,6145
351,38667
352,36040
352,10991
352,44234
352,44499
352,17904
352,32568
352,48267
352,33379
352,2408
352,12024
353,49782
353,20669
353,26603
353,45608
353,31244
353,20063
353,10822
353,31911
353,39331
353,39660
353,33372
353,19168
353,7459
353,5651
353,3634
353,28520
353,6404
353,4238
353,41758
354,26523
354,13368
354,3277
354,7738
354,37054
355,23330
355,6619
356,21772
356,42192
357,28082
357,27856
357,38567
357,24780
357,37355
357,16938
357,12374
357,38217
357,1297
358,27159
358,15967
358,25482
358,19682
358,35269
358,18017
358,29935
359,30629
359,32588
359,44872
360,7359
360,29287
360,14487
360,1217
360,8800
360,16378
360,5519
360,24514
360,20288
360,9358
360,13825
361,20441
362,27035
362,32666
362,5647
362,11633
362,14563
363,38434
364,2418
365,5357
365,5099
365,29236
365,48615
365,24568
365,1677
365,44006
365,36468
365,25763
365,676
365,29955
365,33768
365,1979
365,2115
366,16727
366,21987
366,3247
366,26473
366,25151
366,22042
366,46209
366,24737
367,24763
367,23774
367,37984
367,43209
367,35223
367,36362
367,29748
367,7704
367,46230
367,7577
367,17636
367,26646
368,43737
368,18472
368,24702
368,18835
369,49923
369,23986
369,43228
369,8726
369,27231
369,43113
369,44358
369,8904
369,45778
369,43218
369,48552
369,38453
369,26318
369,33941
369,5057
370,16347
370,29441
371,7420
371,443
371,19002
371,8031
371,45473
371,29938
371,36520
371,17981
371,36285
371,19734
371,11806
372,14072
372,13544
372,11161
372,20929
372,4282
372,44902
373,42141
373,16728
373,48746
374,40919
374,42395
374,48990
374,2035
374,40982
374,20701
374,47037
374,3007
374,8543
374,23645
374,34254
374,4272
374,15181
374,23256
374,29817
374,4057
375,25956
375,2942
375,20504
375,26016
376,14214
376,46624
376,29105
376,10086
377,12284
377,28235
377,34825
377,48002
378,31917
378,47555
378,16475
379,42501
379,41301
379,43727
379,48223
379,33725
379,25020
379,4489
379,30080
379,1882
379,37614
379,2213
379,12967
379,64
379,16689
379,12336
379,8090
379,19635
379,27196
379,28273
380,49988
380,49521
380,26912
380,49100
380,49998
380,49659
380,14314
380,4230
381,27716
381,14364
382,44313
383,27889
383,41702
383,24038
383,44180
383,20917
383,26304
384,32533
385,36184
385,37219
386,44128
386,47007
386,48414
386,4952
386,41375
386,42145
387,39819
387,989
388,47997
388,38942
388,238
388,1807
389,46901
389,48700
389,39873
389,28428
389,14295
389,20063
389,33651
389,27937
389,40160
389,23005
389,9923
389,5417
389,30357
389,1666
389,34041
389,30524
390,6696
390,12314
391,12438
391,29223
392,22292
392,1496
392,34179
392,46139
392,46465
392,14438
392,26781
392,43454
392,14802
392,30428
392,47279
392,21562
392,2537
392,22388
392,31352
392,24205
392,20620
392,24665
392,48534
393,16477
393,3924
394,42651
394,30077
394,30477
394,47245
394,14095
394,20154
394,32456
394,16499
394,20701
394,29661
394,21612
395,11112
395,10026
395,36568
395,45468
396,17147
396,32832
396,23520
397,13006
397,17455
397,28474
397,24734
397,14226
397,41192
398,2184
398,7873
399,6478
399,39049
399,16412
399,48109
400,12033
400,44885
400,43022
400,19743
400,43645
400,39501
400,36242
400,9397
400,39550
400,26855
400,36563
400,19115
400,11
400,14877
400,13911
400,1188
401,16999
401,19431
401,42310
401,11423
401,31483
401,48458
401,32532
401,4737
401,41251
401,32646
401,22009
401,42755
401,19690
401,3974
401,41542
401,35805
401,2815
401,37528
402,20887
402,14489
402,11947
402,49938
402,2483
402,30423
402,44389
402,35466
402,9295
403,24311
403,19144
403,20391
403,22349
403,25906
403,27782
403,35495
403,11214
403,23986
403,12337
403,23847
403,25260
403,49931
403,38253
403,47818
403,33516
403,14488
403,24771
403,30360
404,43613
404,23607
405,1066
405,14795
405,40483
405,5281
405,36988
406,1043
406,26835
406,46637
406,14088
406,40654
406,21821
406,34829
406,49053
406,43583
406,46127
406,22257
406,47413
406,14777
406,43377
406,13579
406,1552
407,43392
407,27925
407,49827
407,20997
407,39446
407,28237
407,43722
408,25390
408,20496
409,36872
409,22473
409,17924
409,31140
409,19754
410,11465
410,37582
410,7032
410,29214
410,6282
410,37008
410,9228
410,15902
410,9896
410,35314
410,15161
410,15401
410,12703
410,47284
410,9393
411,46650
411,28859
411,13531
411,34140
411,36288
411,40987
411,2125
411,45523
411,17650
411,38703
411,22645
412,27093
412,43845
413,23734
413,49648
413,94
413,5633
413,21184
413,20790
413,10901
413,47538
414,48040
414,3158
414,25552
415,27001
415,5829
415,23024
416,38691
416,12636
416,8812
416,44933
416,5970
416,46006
416,45440
416,11238
416,45228
417,35081
417,13009
418,2416
418,14181
418,13250
418,33976
418,36458
418,11023
418,20282
418,18976
418,49091
418,11343
418,37249
418,26137
418,4139
418,48819
418,9864
419,39879
419,40853
419,36540
419,6550
419,25525
419,14574
419,25825
419,44652
419,26305
419,379
419,23955
420,14814
420,29405
420,857
420,10176
420,31600
420,33090
420,14291
421,43806
421,38802
421,32526
422,39917
422,33538
422,4838
423,46632
423,44609
423,26849
423,7310
423,18604
423,12119
423,34195
423,2797
423,48721
424,35872
424,18023
424,25557
424,48277
424,35455
424,18218
425,26515
425,49533
425,42533
425,12999
426,42350
